file	key	english	chinese
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_DISCIPLE_HAND_PEDIA	[TAB]The Frost Speakers, disciples of Mulcarn, were tolerated by most nations in the Age of Magic. They would pledge allegiance to no sovereign, but they did not speak sedition, either. Well beyond stoic in their demeanor, followers of Winter lost passion of all sorts. Initiation to this order involved bathing in icy waters overnight. Those who survived the 'baptism' usually had their outlook changed dramatically by it, without need of theological debate. [PARAGRAPH:1]These cold men now lead the armies of their god. Slow to adapt to their enemies' tactics, their strength lies in unflinching rationality, carrying out their plans unhindered by fear, ambition, or personal attachment. They will patch up wounded soldiers with divine aid of their god-king, but evidence suggests their compassion is something to be desired. More than once Amurite recon patrols have found badly wounded Illian warriors buried in the snow--occasionally still breathing. 	[TAB]霜语者是穆尔卡恩的门徒,在魔法纪元中为大多数国家所容忍。他们不向任何君主宣誓效忠,却也不散播叛乱之言。冬之信徒的举止远不止于坚忍——他们丧失了一切激情。加入这一教团的入会礼,是在冰水中通宵沐浴。熬过这场「洗礼」的人,往往无需神学辩论,人生观便已被它彻底改变。[PARAGRAPH:1]这些冷酷之人如今统领着他们神明的军队。他们迟于适应敌人的战术,力量却在于毫不动摇的理性——推行计划时,不为恐惧、野心或私人情感所扰。他们会以其神王的神力救治伤兵,但种种迹象表明,他们的怜悯实在乏善可陈。阿姆莱特的侦察队不止一次在雪中发现身负重伤、被埋起来的伊利安战士——偶尔还在喘息。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_TECH_MERCANTILISM	Economics	经济学
Magister_CIV4GameText_FFH2.xml	TXT_KEY_TECH_MERCANTILISM_PEDIA	[TAB]The protection of our national wealth demands that we restrict our trading, so as to prevent other nations from profiting from the work our faithful citizens have done. Any foreign power is a potential adversary, a vicious predator probing for weaknesses and biding its time. To hand it weapons and tools is to invite disaster. [PARAGRAPH:1]-Arian Kothrax, High Councilor, Steward of Inequity[PARAGRAPH:2]Trade has ever been the extinguisher of war, the eradicator of prejudice, the diffuser of knowledge. [PARAGRAPH:1]Is it not evident that the impoverishment and dependence of labor are abnormal conditions resulting from restrictions and usurpations, and that instead of accepting protection, what labor should demand is freedom. That those who advocate any extension of freedom choose to go no further than suits their own special purpose is no reason why freedom itself should be distrusted. [PARAGRAPH:1]-Henry George	[TAB]为护卫我们国家的财富,必须限制通商,以免他国从我们忠实公民的劳作中获利。任何外邦皆是潜在的敌手,是伺机而动、四处试探弱点的凶恶掠食者。将武器与工具交到它手中,无异于招致灾祸。[PARAGRAPH:1]——阿里安·科斯拉克斯,高级议员,不义之管家[PARAGRAPH:2]贸易从来都是战争的熄灭者、偏见的根除者、知识的传播者。[PARAGRAPH:1]难道还不明显吗:劳动者的贫困与依附乃是限制与僭夺所致的反常境况;劳动者不该接受什么保护,而应索求自由。倡导扩展自由者只肯走到合乎自己特定目的之处、不肯再进一步,这绝非理由去怀疑自由本身。[PARAGRAPH:1]——亨利·乔治
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_SAVEROUS_THRALL	Saverous the Thrall	奴隶萨维罗斯
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_HIGH_PRIEST_ESUS	Propogandist	宣传者
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_FIRE_SHIP	Fire Ship	火船
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_FIRE_SHIP_PEDIA	A fire ship or fireship, used in the days of wooden rowed or sailing ships, was a ship filled with combustibles, deliberately set on fire and steered (or, where possible, allowed to drift) into an enemy fleet, in order to destroy ships, or to create panic and make the enemy break formation. Ships used as fire ships were usually old and worn out or purpose-built inexpensive vessels. An explosion ship or hellburner was a variation on the fire ship, intended to cause damage by blowing up in proximity to enemy ships. 	火船,在木桨船或帆船的时代所用,是一种装满可燃物、被刻意点燃并驶向(或在可能时任其漂向)敌方舰队的船只,用以摧毁船舰,或制造恐慌、使敌军阵形溃乱。用作火船的船只通常是老旧破损的,或专门建造的廉价船只。爆破船(又称地狱燃烧者)是火船的一种变体,意在于敌船近旁引爆以造成损伤。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_FIRE_SHIP_STRATEGY	Fire Ships are cheap expendable alternatives to more conventional naval combat, and a good way to get rid of otherwise obsolete vessels. When defeated they will explode, damaging all units (enemy and friendly) nearby. They can be produded through either arcane or mundane means, using either Fire Mana or Gunpowder. 	火船是常规海战之外廉价而可弃的替代品,也是处置那些本已过时之船只的好办法。被击败时它们会爆炸,伤及附近所有单位(敌我皆然)。它们可经由秘法或凡俗手段建造——使用炎之能量或火药皆可。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_WITCH_HUNTER	Witch Hunter	猎巫者
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_WITCH_HUNTER_PEDIA	Sarabride outlaws magic entirely and has an army of witch hunters specifically trained to kill mages. She also has a formidable force of cannons and steampunk style riflemen and pistoleers. Unknown to most, a small group of true angels of Bhall serve, guard and protect her. 	萨拉布莱德彻底取缔魔法,并拥有一支专为杀死法师而训练的猎巫者大军。她还坐拥一支强大的力量——加农炮,以及蒸汽朋克风格的火枪手与手枪手。鲜为人知的是,一小群巴尔的真正天使正为她效力、守卫并护佑着她。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_WITCH_HUNTER_STRATEGY	No mortals are better trained than Witch Hunters for the task of protecting society from rogue sorcerers. Unfortunately, they tend to be cruel and corrupt. Even honest ones are often overzealous, failing to distinguish between good and evil uses of magic and more willing to condemn a hundred innocents than let one guilty party go free. Employing them especially angers those leaders whose political power depends upon arcane might. 	再没有哪种凡人比猎巫者更擅长守护社会、抵御邪恶术士。可惜的是,他们往往残忍而堕落。即便清白之辈也常常过分狂热,分辨不出魔法的善用与恶用,宁可错杀一百无辜,也不肯放过一个有罪之人。雇用他们尤其会激怒那些政治权力仰赖秘法之力的领袖。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_HIGH_PRIEST_ESUS_1	King of Thieves	盗贼之王
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_HIGH_PRIEST_ESUS_2	Jack Shadow	暗影杰克
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_HIGH_PRIEST_ESUS_3	Moonsong	月歌
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_HIGH_PRIEST_ESUS_4	Mendax	门达克斯
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_HIGH_PRIEST_ESUS_5	Jacque the Barber	理发匠雅克
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UNIT_HIGH_PRIEST_ESUS_6	Wode	沃德
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_UNDERCOUNCIL_ASSIGN_CITY	Undercouncil Mandate for City Ownership	下议会城市归属授权令
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_SHARE_MAPS	Share Maps	共享地图
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_ENLIST_THE_NIGHTWATCH	Enlist the Nightwatch: A Nightwatch unit is provided to every member who pays, and the state religion requirement for training them is waived.	招募守夜人:每位付款的成员都将获得一个守夜人单位,且训练他们的国教要求予以豁免。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_ENLIST_THE_GUARD	Enlist the Radiant Guard: A Radiant Guard unit is provided to every member, and the state religion requirement for training them is waived.	招募光辉守卫:每位成员都将获得一个光辉守卫单位,且训练他们的国教要求予以豁免。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_OVERCOUNCIL_LEADER	Elect a Head Councilor	推选首席议员
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_UNDERCOUNCIL_LEADER	Elect a Dark Magistrate	推选黑暗执法官
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_DISOLVE_COUNCIL	Dissolve the Council	解散议会
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_REPUBLIC	Global Civic - Republic	全局政策——共和
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_LIBERTY	Global Civic - Liberty	全局政策——自由
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_SCHOLARSHIP	Global Civic - Scholarship	全局政策——学术
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_PACIFICM	Global Civic - Pacifism	全局政策——和平主义
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_CONSUMPTION	Global Civic - Consumption	全局政策——消费
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_GUILDS	Global Civic - Guilds	全局政策——行会
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_MERCANTILISM	Global Civic - Mercantilism	全局政策——重商主义
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_SLAVERY	Global Civic - Slavery	全局政策——奴隶制
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_OVERCOUNCIL_FORCE_PEACE	Overcouncil Peacekeeping	上议会维和
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_OVERCOUNCIL_FORCE_NO_TRADE	Overcouncil Trade Embargo	上议会贸易禁运
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_OVERCOUNCIL_FORCE_WAR	Overcouncil War Resolution	上议会战争决议
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_UN_FORCE_PEACE	Force Peace	强制和平
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UN_VOTE_FORCE_NO_TRADE	Trade Embargo	贸易禁运
Magister_CIV4GameText_FFH2.xml	TXT_KEY_UN_VOTE_FORCE_WAR	Call to Arms	号召参战
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_UN_ASSIGN_CITY	Assign City Ownership	指派城市归属
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_NO_DIMENSIONAL_MANA	Outlaw Dimensional Mana	取缔次元能量
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_NO_CHAOS_MANA	Outlaw Chaos Mana	取缔混乱能量
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_NO_SUN_MANA	Outlaw Sun Mana	取缔太阳能量
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_NO_SHEUT_STONE	Outlaw Sheut Stone	取缔希乌特之石
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_NO_GULAGARM	Outlaw Gulagarm	取缔古拉加姆
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_NO_RAZORWEED	Outlaw Razorweed	取缔剃草
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_NO_DESERT_ROSE	Outlaw Desert Rose	取缔沙漠玫瑰
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_NO_JETEYE	Outlaw Jeteye	取缔洁提眼
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_BAN_SLAVERY	Outlaw Slavery	取缔奴隶制
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_NO_DEATH_MANA	Outlaw Undead	取缔不死单位
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_COORDINATE_RESEARCH	Coordinate Research	协同研究
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_VICTORY_OVERCOUNCIL	Diplomatic Victory for the Dark Magistrate	黑暗魔导官的外交胜利
Magister_CIV4GameText_FFH2.xml	TXT_KEY_VOTE_SECRETARY_GENERAL_GREYCOUNCIL	Primus Inter Pares election	首席议员选举
Magister_CIV4GameText_FFH2.xml	TXT_KEY_POPUP_CHOOSE_ELECTION_GREYCOUNCIL	As Primus Inter Pares, you can choose a Resolution to put forward for a vote.	作为首席议员，你可以选择一项决议提交表决。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_WB_LORD_OF_THE_BALORS_DEAL_DONE	Our arrangement bought you but a little time. I now come to collect your soul. 	我们的约定不过为你换来些许时日。如今我来收取你的灵魂。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_WB_WAGES_OF_SIN_DESC	Description: New alliances ignite a religious war in the mountains of Tempus Mor. [NEWLINE]Membership in the Undercouncil or Overcouncil cannot be changed. Victory requires eliminating the members of the opposing council. [NEWLINE]Requires: Into the Desert. 	描述：新的结盟在坦普斯·摩尔的群山中点燃了一场宗教战争。[NEWLINE]下议会或上议会的成员身份无法更改。胜利需要消灭对立议会的成员。[NEWLINE]需要：深入沙漠。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_WB_GIFT_OF_KYLORIN_DESC	Description: Dain means to pass the trials of the Cave of Ancestors. [NEWLINE][NEWLINE]Special Rules: This is a dungeon adventure. You control one unit through the challenges of the scenario and if that unit dies you lose. 	描述：丹安意欲通过先祖之洞的试炼。[NEWLINE][NEWLINE]特殊规则：这是一场地牢冒险。你操控一个单位闯过剧本中的挑战，若该单位阵亡则你失败。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_BOUND_BY_COMPACT	Bound by The Compact	受盟约束缚
Magister_CIV4GameText_FFH2.xml	TXT_KEY_BOUND_BY_COMPACT_HELP	[ICON_BULLET]The Compact allows the gods and their direct agents free reign over their own worshipers, but severely limits their interactions with the rest of Erebus. Demons bound by The Compact can move freely in hell, but cannot enter Erebus proper except in lands held by their team or by the Ashen Veil. 	[ICON_BULLET]盟约允许诸神及其直属使徒对自己的信徒享有全权支配，却严格限制他们与埃瑞布斯其余地方的往来。受盟约束缚的恶魔可在地狱中自由行动，但除非在其阵营或灰烬帷幕掌控的土地上，否则无法踏入埃瑞布斯本土。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_WB_MULCARN_REBORN_SWITCH_CIV	The %s1_civ need your help. You must lead them. 	%s1_civ 需要你的帮助。你必须率领他们。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_WB_MULCARN_REBORN_DESC	Description: Auric means to ascend to godhood. If Erebus is to be saved from another Age of Ice you must stop him. [NEWLINE][NEWLINE]Special Rules: You do not control only one civilization, but cycle through to take control of every member of your team each turn. [NEWLINE][NEWLINE]Requires: Completion of The Black Tower, The Cult, and Against the Grey. 	描述：奥里克意欲飞升成神。若要将埃瑞布斯从又一个冰之纪元中拯救出来，你必须阻止他。[NEWLINE][NEWLINE]特殊规则：你不只操控一个文明，而是每回合轮流接管你阵营中的每一名成员。[NEWLINE][NEWLINE]需要：完成「黑塔」「邪教」与「对抗灰者」。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_SOMETHING	And now, for something completely different. . . 	现在，来点截然不同的东西。。。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_SLAYER	Yes. Our troops need every advantage they can get. I never trusted our enemy's kin anyway. 	是的。我们的军队需要一切能得到的优势。反正我从来就信不过我们敌人的血亲。
Magister_CIV4GameText_FFH2.xml	TXT_KEY_SIDAR_ABHOR_NECROMANCY	[COLOR_RED][NEWLINE][ICON_BULLET]Blocked by The Sidar[COLOR_REVERT]	[COLOR_RED][NEWLINE][ICON_BULLET]被希达族阻止[COLOR_REVERT]
Magister_CIV4GameText_FFH2.xml	TXT_KEY_SOUL_SHROUD_BLOCK_NECROMANCY	[COLOR_RED][NEWLINE][ICON_BULLET]Blocked by The Soul Shroud[COLOR_REVERT]	[COLOR_RED][NEWLINE][ICON_BULLET]被灵魂裹尸布阻止[COLOR_REVERT]
