59	招募守夜人:每位付款的成员都将获得一个守夜人单位,且训练他们的国教要求予以豁免。
60	招募光辉守卫:每位成员都将获得一个光辉守卫单位,且训练他们的国教要求予以豁免。
61	推选首席议员
62	推选黑暗执法官
63	解散议会
64	全局政策——共和
65	全局政策——自由
66	全局政策——学术
67	全局政策——和平主义
68	全局政策——消费
