TXT_KEY_CITY_BAR_CTRL_BASE_VALUES	[NEWLINE]按住 &lt;CTRL&gt; 查看基础数值。
TXT_KEY_WORST_ENEMY_IS	[ICON_BULLET][COLOR_YELLOW]%s1_player 是头号敌人[COLOR_REVERT]
TXT_KEY_WORST_ENEMY_IS_YOU	[ICON_BULLET][COLOR_YELLOW]你是头号敌人[COLOR_REVERT]
TXT_KEY_DEFENSIVE_PACT_WITH	[ICON_BULLET][COLOR_BLUE]与 %s1_player 签有防御协定[COLOR_REVERT]
TXT_KEY_DEFENSIVE_PACT_WITH_YOU	[ICON_BULLET][COLOR_BLUE]你签有一份防御协定[COLOR_REVERT]
TXT_KEY_WARPLAN_TARGET_IS	[ICON_BULLET][COLOR_CYAN]针对 %s1_player 的作战计划[COLOR_REVERT]
TXT_KEY_WARPLAN_TARGET_IS_YOU	[ICON_BULLET][COLOR_CYAN]你是作战目标[COLOR_REVERT]
TXT_KEY_WARPLAN_LIMITED_TARGET_IS	[ICON_BULLET][COLOR_CYAN]针对 %s1_player 的有限作战计划[COLOR_REVERT]
TXT_KEY_WARPLAN_LIMITED_TARGET_IS_YOU	[ICON_BULLET][COLOR_CYAN]你是有限作战目标[COLOR_REVERT]
TXT_KEY_WARPLAN_TARGET_OF_YOU	[ICON_BULLET][COLOR_CYAN]你正在备战[COLOR_REVERT]
TXT_KEY_MISC_SPEEDS_UP	[NEWLINE][ICON_BULLET]加速[SPACE]
TXT_KEY_MISC_SPED_UP_BY	[NEWLINE][ICON_BULLET]被加速，来源[SPACE]
TXT_KEY_ACTUAL_EFFECTS	实际
TXT_KEY_MISC_SET_RATE	将 %s1_CmrcType 比率设为 %d2_Value%%
TXT_KEY_LATLONG_NORTH	北
TXT_KEY_LATLONG_EAST	东
TXT_KEY_LATLONG_SOUTH	南
TXT_KEY_LATLONG_WEST	西
TXT_KEY_MISC_HELP_WORKED_TILES_YIELD	[ICON_BULLET]来自工作地块的 %D1%F2
TXT_KEY_MISC_HELP_TOTAL_YIELD	-----------------------[NEWLINE]%s1_yield_type 总计：%d2%F3
TXT_KEY_MISC_HELP_EATEN_FOOD	[ICON_BULLET]%D1[ICON_EATENFOOD] 供养人口
TXT_KEY_MISC_HELP_SPOILED_FOOD	[ICON_BULLET]%D1[ICON_EATENFOOD] 用于健康
TXT_KEY_MISC_HELP_BASE_FOOD_PRODUCED	-----------------------[NEWLINE]基础食物产出：%d1[ICON_FOOD]
TXT_KEY_MISC_HELP_TOTAL_FOOD_PRODUCED	-----------------------[NEWLINE]食物总产出：%d1[ICON_FOOD]
TXT_KEY_MISC_HELP_TOTAL_FOOD_CONSUMED	-----------------------[NEWLINE]食物总消耗：%d1[ICON_EATENFOOD]
TXT_KEY_MISC_HELP_NET_FOOD_GROW	净食物：%D1[ICON_FOOD]
TXT_KEY_MISC_HELP_NET_FOOD_SHRINK	净食物：[COLOR_NEGATIVE_TEXT]%D1[COLOR_REVERT][ICON_BAD_FOOD]
TXT_KEY_MISC_HELP_NET_FOOD_STAGNATE	净食物：+0[ICON_FOOD]
TXT_KEY_MISC_HELP_NET_FOOD_PRODUCTION	净食物：%D1[ICON_FOOD] 用于 %s2_production_type
TXT_KEY_MISC_HELP_COMMERCE_SUBTOTAL_YIELD_FLOAT	-----------------------[NEWLINE]基础 %s1_commerce_type：%s2%F3
TXT_KEY_MISC_HELP_SLIDER_PERCENT_FLOAT	-----------------------[NEWLINE]%d2[ICON_COMMERCE] 的 %d1%% = %s3%F4
TXT_KEY_MISC_HELP_COMMERCE_FINAL_YIELD_FLOAT	-----------------------[NEWLINE]%s1_commerce_type 总计：%s2%F3
TXT_KEY_MISC_HELP_BUILDING_DEFENSE	[ICON_BULLET]来自建筑的 %D1%%[ICON_DEFENSE]
TXT_KEY_MISC_HELP_CULTURE_DEFENSE	[ICON_BULLET]来自文化的 %D1%%[ICON_DEFENSE]
TXT_KEY_MISC_HELP_CULTURE_DEFENSE_PARTIAL	[ICON_BULLET]来自文化的 %D1%%[ICON_DEFENSE]（%d2%%）
TXT_KEY_MISC_HELP_WONDER_DEFENSE	[ICON_BULLET]来自奇迹的 %D1%%[ICON_DEFENSE]
TXT_KEY_MISC_HELP_TOTAL_DEFENSE	总防御：%D1%%[ICON_DEFENSE]
TXT_KEY_MISC_HELP_DEFENSE_DAMAGE	[ICON_BULLET]来自轰击的 %D1%%[ICON_DEFENSE]
TXT_KEY_MISC_HELP_NET_DEFENSE	净防御：%D1%%[ICON_DEFENSE]
TXT_KEY_MISC_HELP_TOTAL_BOMBARD_DEFENSE	总轰击防御：%d1%%[ICON_DEFENSE]
TXT_KEY_MISC_HURRY_OVERFLOW	[ICON_BULLET]%s1 溢出
TXT_KEY_BUG_TRADE_HEADING	贸易
TXT_KEY_BUG_DOMESTIC_TRADE_HEADING	国内贸易
TXT_KEY_BUG_FOREIGN_TRADE_HEADING	与 %s2_CivName 的 %s1_PlyrName 通商
TXT_KEY_BUG_CANNOT_TRADE_HEADING	无法与 %s2_CivName 的 %s1_PlyrName 通商
TXT_KEY_BUG_TOTAL_TRADE_YIELD	[NEWLINE]总产出：%s1[ICON_COMMERCE]
TXT_KEY_BUG_TOTAL_TRADE_ROUTES	[NEWLINE]路线数量：%d1
TXT_KEY_BUG_AVERAGE_TRADE_YIELD	[NEWLINE]平均产出：%s1[ICON_COMMERCE]
TXT_KEY_BUG_CANNOT_TRADE_DEAD	[NEWLINE][ICON_BULLET]他们已灭亡
TXT_KEY_BUG_CANNOT_TRADE_NETWORK_NOT_CONNECTED	[NEWLINE][ICON_BULLET]你们的贸易网络未连通
TXT_KEY_BUG_CANNOT_TRADE_CLOSED_BORDERS	[NEWLINE][ICON_BULLET]你尚未签订开放边界协议
TXT_KEY_BUG_CANNOT_TRADE_FOREIGN_YOU	[NEWLINE][ICON_BULLET]你的政策不允许对外贸易
TXT_KEY_BUG_CANNOT_TRADE_FOREIGN_THEM	[NEWLINE][ICON_BULLET]他们的政策不允许对外贸易
TXT_KEY_MISC_EXPERIENCE	%d1 经验
TXT_KEY_CITY_FREE_EXPERIENCE	[ICON_BULLET][COLOR_POSITIVE_TEXT]来自城市的 %D1 经验[COLOR_REVERT]
TXT_KEY_CITY_UNITCOMBAT_FREE_EXPERIENCE	[ICON_BULLET][COLOR_POSITIVE_TEXT]城市为 %s2_UnitCombatName 提供的 %D1 经验[COLOR_REVERT]
TXT_KEY_PLAYER_FREE_EXPERIENCE	[ICON_BULLET][COLOR_POSITIVE_TEXT]来自奇迹与政策的 %D1 经验[COLOR_REVERT]
TXT_KEY_SPECIALIST_FREE_EXPERIENCE	[ICON_BULLET][COLOR_POSITIVE_TEXT]来自专家的 %D1 经验[COLOR_REVERT]
TXT_KEY_BUILDING_FREE_EXPERIENCE	[ICON_BULLET][COLOR_POSITIVE_TEXT]来自 %s2_building 的 %D1 经验[COLOR_REVERT]
TXT_KEY_NO_BUILDING_FREE_EXPERIENCE	[ICON_BULLET][COLOR_NEGATIVE_TEXT]拥有 %s2_building 时的 %D1 经验[COLOR_REVERT]
TXT_KEY_STATE_RELIGION_FREE_EXPERIENCE	[ICON_BULLET][COLOR_POSITIVE_TEXT]来自国教的 %D1 经验[COLOR_REVERT]
TXT_KEY_NO_STATE_RELIGION_FREE_EXPERIENCE	[ICON_BULLET][COLOR_NEGATIVE_TEXT]拥有国教时的 %D1 经验[COLOR_REVERT]
TXT_KEY_MISC_CITY_HAS_CONSCRIPTED	[COLOR_NEGATIVE_TEXT]本回合该城市无法再征召单位[COLOR_REVERT]
TXT_KEY_MISC_CONSCRIPT_UNITS_LEFT	本回合你可征召 %d1 [NUM1:unit:units]
TXT_KEY_MISC_NO_CONSCRIPT_UNITS_LEFT	[COLOR_NEGATIVE_TEXT]本回合你无法再征召任何单位[COLOR_REVERT]
TXT_KEY_BUG_PRECLEARING_FEATURE_BONUS	清除 %s1_FeatName 将为 %s3_CityName 带来 %d2_Num [ICON_PRODUCTION]。
TXT_KEY_ACTION_CHANGE_IN_CITY	[ICON_BULLET]%s2_CityName 中的 %s1
TXT_KEY_SAME_UNITS_TYPE	[SPACE]（按 &lt;ALT&gt; 选取当前单位类型的全部单位）
TXT_KEY_TRADE_ROUTE_TOTAL_FRACTIONAL_PROFIT	%s1 [ICON_COMMERCE]：总收益
TXT_KEY_TRADE_ROUTE_MOD_CIVIC	%D2%%：来自 %s1
TXT_KEY_TRADE_ROUTE_MOD_TRAIT	%D2%%：来自 %s1
TXT_KEY_TRAIT_TRADE_YIELD_MODIFIERS	[NEWLINE][SPACE][SPACE][ICON_BULLET]来自贸易路线的 %D1%%%F2_yield（[ICON_TRADE]）
TXT_KEY_TRADE_ROUTE_TOTAL_FRACTIONAL	%s1 [ICON_COMMERCE]：总计
TXT_KEY_CHEATERS_NEVER_PROSPER	[COLOR_NEGATIVE_TEXT]你已选取过免费科技[COLOR_REVERT]
TXT_KEY_MOD_FRACTRADE	小数贸易路线
TXT_KEY_MOD_SENTRY	全新警戒动作
TXT_KEY_MOD_GOVWORKERS	城市总督建造工人
TXT_KEY_MOD_AIAUTOPLAY	AI 自动游玩
TXT_KEY_MOD_GWARM	全球变暖
TXT_KEY_MOD_SHAM_SPOILER	显示隐藏态度
TXT_KEY_PROMOTION_EXPIRES_END_OF_TURN	[ICON_BULLET]回合结束时失效
TXT_KEY_PROMOTION_HELP_INVISIBLE	[ICON_BULLET]使该单位隐形（城市内除外）
TXT_KEY_PROMOTION_MIN_LEVEL	[ICON_BULLET]需要等级 %d1 或更高
TXT_KEY_BUILDING_UNHAPPY_PRODUCTION	[ICON_BULLET]每个不满人口提供 +1[ICON_PRODUCTION]
