AI_DIPLO_DECLARE_WAR_1	这个世界容不下我们两个！（[OUR_NAME] 宣战！）
AI_DIPLO_FIRST_CONTACT_LEADER_NAPOLEON_1	您好。我是 [OUR_NAME]，[OUR_CIV_SHORT] 的皇帝、元帅兼第一公民。你可以叫我"小伍长"，不过那样我就得杀了你。
AI_DIPLO_FIRST_CONTACT_LEADER_BISMARCK_1	伟大的 [OUR_CIV_SHORT] 及其优越的人民向你致意。我，[OUR_NAME]，愿与所有邻邦和平相处——哪怕是你那点微不足道的文化。
AI_DIPLO_FIRST_CONTACT_LEADER_ALEXANDER_1	您好，[CT_NAME]！我是 [OUR_NAME]，好战的 [OUR_EMPIRE] 之统治者！让我们联手，把天下的军队踩在我们的凉鞋之下！那可太酷了！
AI_DIPLO_FIRST_CONTACT_LEADER_HUAYNA_CAPAC_1	[OUR_EMPIRE] 欢迎光荣的 [CT_CIV_ADJ] 人民及其领袖 [CT_NAME]。你和我们玩祭祀球赛，我们也和你玩祭祀球赛。
AI_DIPLO_FIRST_CONTACT_LEADER_ASOKA_1	愿和平与幸福永远伴你左右，[CT_NAME]。我是 [OUR_CIV_SHORT] 的 [OUR_NAME]。
AI_DIPLO_FIRST_CONTACT_LEADER_GANDHI_1	欢迎来到我简陋的家，[CT_NAME]。[OUR_CIV_SHORT] 愿与所有邻邦和平相处——哪怕是像你这样十分讨厌的邻居。
AI_DIPLO_FIRST_CONTACT_LEADER_TOKUGAWA_1	欢迎，[CT_NAME]！愿你的帝国繁荣壮大，只要它对我们还有用处！我这话是真心的。
AI_DIPLO_FIRST_CONTACT_LEADER_MANSA_MUSA_1	欢迎，[CT_NAME]。我，[OUR_NAME]，[OUR_CIV_SHORT] 谦卑的统治者，向你伸出友谊之手。
AI_DIPLO_FIRST_CONTACT_LEADER_GENGHIS_KHAN_1	欢迎，[CT_EMPIRE] 的领袖啊。我的部众任何时候都能击败你的部众。我们是做朋友，还是做敌人？
AI_DIPLO_FIRST_CONTACT_LEADER_KUBLAI_KHAN_1	强大的 [OUR_EMPIRE] 向你致意。让我们携手实现对敌人的彻底毁灭，然后——也唯有到那时——再像我们本性中那群疯狗一样彼此背叛、彼此撕咬！
AI_DIPLO_FIRST_CONTACT_LEADER_CYRUS_1	您好，[CT_CIV_ADJ] 人民睿智的统治者啊！[OUR_CIV_SHORT] 很强大——我们该把你算作朋友，还是算作敌人？
AI_DIPLO_FIRST_CONTACT_LEADER_JULIUS_CAESAR_1	欢迎来到 [OUR_CIV_SHORT]，[CT_NAME]。来点沙拉吗？我亲手做的。
