TXT_KEY_UNIT_DISCIPLE_OF_ACHERON	阿切隆信徒
TXT_KEY_WB_DEFY_RESOLUTION	违抗议案 [ICON_UNHAPPY]:%d1
TXT_KEY_WB_COPY_ALL	应用于所有 %s1
TXT_KEY_WB_GOLDEN_AGE_UNITS	[ICON_GREATPEOPLE] 需求:%d1
TXT_KEY_WB_TEAM_DATA	队伍数据
TXT_KEY_WB_MAP_CENTERING	地图居中
TXT_KEY_WB_GOLD_TRADING	金钱交易
TXT_KEY_WB_MAP_TRADING	地图交易
TXT_KEY_WB_EXTRA_WATER_SIGHT	额外水域视野
TXT_KEY_WB_MERGE_TEAM	合并队伍
TXT_KEY_WB_GUARANTEED_ELIGIBILITY	保证参选资格
TXT_KEY_WB_TRIGGER_EVENT	触发 %s1
TXT_KEY_WB_ATTITUDE	态度
TXT_KEY_WB_COUNTER_ESPIONAGE	反间谍
TXT_KEY_WB_HAS_CAST	已施法
TXT_KEY_WB_DURATION	持续时间
TXT_KEY_WB_BUILD_DISABLED	禁止建造改良设施
TXT_KEY_WB_PORTAL_X_COORDINATE	传送门出口 X:
TXT_KEY_WB_PLOT_COUNTER	地块计数器:
TXT_KEY_WB_GLOBAL_COUNTER_LIMIT	全局计数器上限: 
TXT_KEY_WB_UNIT_ID	单位 ID:
TXT_KEY_WB_UNIT_NAME	单位名称:
TXT_KEY_WB_IS_IMMORTAL	不朽
TXT_KEY_SPELL_SPHERES	法术领域
TXT_KEY_REL_BUILDINGS	宗教建筑
TXT_KEY_WB_HAS_CAST_WORLD_SPELL	已施放世界法术
TXT_KEY_NO_RELIGION	无宗教
TXT_WB_STRENGTH_DEFENSE	防御强度
TXT_KEY_WB_STANDARD_PROMOTIONS	标准晋升
TXT_KEY_TEAM_UNITS	队伍单位
TXT_KEY_WB_AVAILIBLE_PROMOTIONS	可用晋升
TXT_KEY_WB_SAME_PLOT	同一地块上的单位
TXT_KEY_ALL	全部
TXT_KEY_WB_SHRINE	圣祠
TXT_KEY_WB_REAL	显示临时地图物件的计时器,并允许选择计时结束后它们所还原成的真实类型
